id,type,name,displayName,symbol,clientType,isActive,year,description,systemEmail,contactEmail,url,domains,createdAt,updatedAt,provider_id,provider_type,member_id,member_type,raw_json
bl.oxdb,clients,Oxford University Research Archive,Oxford University Research Archive,BL.OXDB,repository,True,2010,"ORA (Oxford University Research Archive) is the institutional repository for the University of Oxford. ORA was established in 2007 as a permanent and secure online archive of research materials produced by members of the University of Oxford.

ORA aims to provide access to the full text of as much of Oxford's academic research as possible. This includes articles, conference papers, theses, research data, working papers, posters and more.

Making materials open access removes barriers that restrict access to research, allowing for free dissemination of full text content, available to anyone with Internet access. ORA promotes and encourages the sharing of the scholarly output produced by the members of the University of Oxford that have been published under open access conditions, whilst additionally supporting University compliance with research funder policy and assessment.",,,https://ora.ox.ac.uk/,"ora.ox.ac.uk,fairsharing.org",,,ylyl,providers,,,"{""id"": ""bl.oxdb"", ""type"": ""clients"", ""attributes"": {""name"": ""Oxford University Research Archive"", ""symbol"": ""BL.OXDB"", ""year"": 2010, ""alternateName"": ""ORA"", ""description"": ""ORA (Oxford University Research Archive) is the institutional repository for the University of Oxford. ORA was established in 2007 as a permanent and secure online archive of research materials produced by members of the University of Oxford.\n\nORA aims to provide access to the full text of as much of Oxford's academic research as possible. This includes articles, conference papers, theses, research data, working papers, posters and more.\n\nMaking materials open access removes barriers that restrict access to research, allowing for free dissemination of full text content, available to anyone with Internet access. ORA promotes and encourages the sharing of the scholarly output produced by the members of the University of Oxford that have been published under open access conditions, whilst additionally supporting University compliance with research funder policy and assessment."", ""language"": [""en""], ""clientType"": ""repository"", ""domains"": ""ora.ox.ac.uk,fairsharing.org"", ""re3data"": ""https://doi.org/10.17616/R3Q056"", ""opendoar"": null, ""issn"": {}, ""url"": ""https://ora.ox.ac.uk/"", ""created"": ""2010-12-17T14:49:58.000Z"", ""updated"": ""2024-01-29T18:29:24.000Z"", ""isActive"": true}, ""relationships"": {""provider"": {""data"": {""id"": ""ylyl"", ""type"": ""providers""}}, ""consortium"": {""data"": {""id"": ""BLCO"", ""type"": ""providers""}}, ""prefixes"": {""data"": [{""id"": ""10.5287"", ""type"": ""prefixes""}, {""id"": ""10.26173"", ""type"": ""prefixes""}]}}}"
bl.qmul,clients,Queen Mary University of London,Queen Mary University of London,BL.QMUL,repository,True,2015,,,,,*,,,iuar,providers,,,"{""id"": ""bl.qmul"", ""type"": ""clients"", ""attributes"": {""name"": ""Queen Mary University of London"", ""symbol"": ""BL.QMUL"", ""year"": 2015, ""alternateName"": null, ""description"": null, ""language"": [], ""clientType"": ""repository"", ""domains"": ""*"", ""re3data"": null, ""opendoar"": null, ""issn"": {}, ""url"": null, ""created"": ""2015-04-29T10:47:57.000Z"", ""updated"": ""2023-03-16T10:14:45.000Z"", ""isActive"": true}, ""relationships"": {""provider"": {""data"": {""id"": ""iuar"", ""type"": ""providers""}}, ""consortium"": {""data"": {""id"": ""blco"", ""type"": ""providers""}}, ""prefixes"": {""data"": [{""id"": ""10.17636"", ""type"": ""prefixes""}]}}}"
bl.york,clients,York,York,BL.YORK,repository,True,2014,,,,,"*.york.ac.uk,*.whiterose.ac.uk,*.iris-database.org",,,skmf,providers,,,"{""id"": ""bl.york"", ""type"": ""clients"", ""attributes"": {""name"": ""York"", ""symbol"": ""BL.YORK"", ""year"": 2014, ""alternateName"": null, ""description"": null, ""language"": [], ""clientType"": ""repository"", ""domains"": ""*.york.ac.uk,*.whiterose.ac.uk,*.iris-database.org"", ""re3data"": null, ""opendoar"": null, ""issn"": {}, ""url"": null, ""created"": ""2014-06-02T08:57:36.000Z"", ""updated"": ""2021-05-05T13:54:14.000Z"", ""isActive"": true}, ""relationships"": {""provider"": {""data"": {""id"": ""skmf"", ""type"": ""providers""}}, ""consortium"": {""data"": {""id"": ""blco"", ""type"": ""providers""}}, ""prefixes"": {""data"": [{""id"": ""10.15124"", ""type"": ""prefixes""}]}}}"
caltech.library,clients,Caltech Library,Caltech Library,CALTECH.LIBRARY,repository,True,2018,,,,,*,,,caltech,providers,,,"{""id"": ""caltech.library"", ""type"": ""clients"", ""attributes"": {""name"": ""Caltech Library"", ""symbol"": ""CALTECH.LIBRARY"", ""year"": 2018, ""alternateName"": null, ""description"": null, ""language"": null, ""clientType"": ""repository"", ""domains"": ""*"", ""re3data"": null, ""opendoar"": null, ""issn"": null, ""url"": null, ""created"": ""2018-04-11T16:40:17.000Z"", ""updated"": ""2024-06-26T09:23:09.000Z"", ""isActive"": true}, ""relationships"": {""provider"": {""data"": {""id"": ""caltech"", ""type"": ""providers""}}, ""prefixes"": {""data"": [{""id"": ""10.7907"", ""type"": ""prefixes""}, {""id"": ""10.7909"", ""type"": ""prefixes""}, {""id"": ""10.7935"", ""type"": ""prefixes""}, {""id"": ""10.14291"", ""type"": ""prefixes""}, {""id"": ""10.26206"", ""type"": ""prefixes""}, {""id"": ""10.57959"", ""type"": ""prefixes""}]}}}"
caltech.sxs,clients,SXS Collaboration,SXS Collaboration,CALTECH.SXS,repository,True,2022,,,,,*,,,caltech,providers,,,"{""id"": ""caltech.sxs"", ""type"": ""clients"", ""attributes"": {""name"": ""SXS Collaboration"", ""symbol"": ""CALTECH.SXS"", ""year"": 2022, ""alternateName"": null, ""description"": null, ""language"": [], ""clientType"": ""repository"", ""domains"": ""*"", ""re3data"": null, ""opendoar"": null, ""issn"": {}, ""url"": null, ""created"": ""2022-09-30T23:41:34.000Z"", ""updated"": ""2023-12-05T21:25:56.000Z"", ""isActive"": true}, ""relationships"": {""provider"": {""data"": {""id"": ""caltech"", ""type"": ""providers""}}, ""prefixes"": {""data"": [{""id"": ""10.26138"", ""type"": ""prefixes""}]}}}"
cern.cds,clients,CERN Document Server,CERN Document Server,CERN.CDS,repository,True,2015,,,,https://repository.cern,"new-cds.cern.ch,cds.cern.ch,videos.cern.ch,repository.cern",,,cern,providers,,,"{""id"": ""cern.cds"", ""type"": ""clients"", ""attributes"": {""name"": ""CERN Document Server"", ""symbol"": ""CERN.CDS"", ""year"": 2015, ""alternateName"": null, ""description"": null, ""language"": [], ""clientType"": ""repository"", ""domains"": ""new-cds.cern.ch,cds.cern.ch,videos.cern.ch,repository.cern"", ""re3data"": null, ""opendoar"": null, ""issn"": {}, ""url"": ""https://repository.cern"", ""created"": ""2015-01-21T14:35:27.000Z"", ""updated"": ""2025-10-17T13:19:41.000Z"", ""isActive"": true}, ""relationships"": {""provider"": {""data"": {""id"": ""cern"", ""type"": ""providers""}}, ""prefixes"": {""data"": [{""id"": ""10.17181"", ""type"": ""prefixes""}]}}}"
cern.zenodo,clients,Zenodo,Zenodo,CERN.ZENODO,repository,True,2013,"ZENODO builds and operates a simple and innovative service that enables researchers, scientists, EU projects and institutions to share and showcase multidisciplinary research results (data and publications) that are not part of the existing institutional or subject-based repositories of the research communities.
ZENODO enables researchers, scientists, EU projects and institutions to:
easily share the long tail of small research results in a wide variety of formats including text, spreadsheets, audio, video, and images across all fields of science.
display their research results and get credited by making the research results citable and integrate them into existing reporting lines to funding agencies like the European Commission.
easily access and reuse shared research results.",,,https://zenodo.org/,"openaire.cern.ch,zenodo.org",,,cern,providers,,,"{""id"": ""cern.zenodo"", ""type"": ""clients"", ""attributes"": {""name"": ""Zenodo"", ""symbol"": ""CERN.ZENODO"", ""year"": 2013, ""alternateName"": ""Research. Shared"", ""description"": ""ZENODO builds and operates a simple and innovative service that enables researchers, scientists, EU projects and institutions to share and showcase multidisciplinary research results (data and publications) that are not part of the existing institutional or subject-based repositories of the research communities.\r\nZENODO enables researchers, scientists, EU projects and institutions to:\r\neasily share the long tail of small research results in a wide variety of formats including text, spreadsheets, audio, video, and images across all fields of science.\r\ndisplay their research results and get credited by making the research results citable and integrate them into existing reporting lines to funding agencies like the European Commission.\r\neasily access and reuse shared research results."", ""language"": [""en""], ""clientType"": ""repository"", ""domains"": ""openaire.cern.ch,zenodo.org"", ""re3data"": ""https://doi.org/10.17616/R3QP53"", ""opendoar"": null, ""issn"": {}, ""url"": ""https://zenodo.org/"", ""created"": ""2013-01-28T12:07:48.000Z"", ""updated"": ""2020-06-26T12:22:29.000Z"", ""isActive"": true}, ""relationships"": {""provider"": {""data"": {""id"": ""cern"", ""type"": ""providers""}}, ""prefixes"": {""data"": [{""id"": ""10.5281"", ""type"": ""prefixes""}]}}}"
cngb.cga,clients,China National GeneBank DataBase,China National GeneBank DataBase,CNGB.CGA,repository,True,2018,"The China National GeneBank database (CNGBdb) is a unified platform for biological big data sharing and application services. CNGBdb has now integrated a large amount of internal and external biological data from resources such as CNGB, NCBI, and the EBI. There are several sub-databases in CNGBdb, including literature, variation, gene, genome, protein, sequence, organism, project, sample, experiment, run, and assembly. Based on underlying big data and cloud computing technologies, it provides various data services, including archive, analysis, knowledge search, and management authorization of biological data. CNGBdb adopts data structures and standards of international omics, health, and medicine, such as The International Nucleotide Sequence Database Collaboration (INSDC), The Global Alliance for Genomics and Health GA4GH (GA4GH), Global Genome Biodiversity Network (GGBN), American College of Medical Genetics and Genomics (ACMG), and constructs standardized data and structures with wide compatibility. All public data and services provided by CNGBdb are freely available to all users worldwide.
CNGB Sequence Archive (CNSA) is the bionomics data repository of CNGBdb.
CNGB Sequence Archive (CNSA) is a convenient and efficient archiving system of multi-omics data in life science, which provides archiving services for raw sequencing reads and further analyzed results. CNSA follows the international data standards for omics data, and supports online and batch submission of multiple data types such as Project, Sample, Experiment/Run, Assembly, Variation, Metabolism, Single cell, and Sequence. Moreover, CNSA has achieved the correlation of sample entities, sample information, and analyzed data on some projects. Its data submission service can be used as a supplement to the literature publishing process to support early data sharing.CNGB Sequence Archive (CNSA) is a convenient and efficient archiving system of multi-omics data in the life science of CNGBdb, which provides archiving services for raw sequencing reads and further analyzed results. CNSA follows the international data standards for omics data, and supports online and batch submission of multiple data types such as Project, Sample, Experiment/Run, Assembly, Variation, Metabolism, Single cell, Sequence. Its data submission service can be used as a supplement to the literature publishing process to support early data sharing.",,,https://db.cngb.org/,*,,,cngb,providers,,,"{""id"": ""cngb.cga"", ""type"": ""clients"", ""attributes"": {""name"": ""China National GeneBank DataBase"", ""symbol"": ""CNGB.CGA"", ""year"": 2018, ""alternateName"": ""国家基因库生命大数据平台"", ""description"": ""The China National GeneBank database (CNGBdb) is a unified platform for biological big data sharing and application services. CNGBdb has now integrated a large amount of internal and external biological data from resources such as CNGB, NCBI, and the EBI. There are several sub-databases in CNGBdb, including literature, variation, gene, genome, protein, sequence, organism, project, sample, experiment, run, and assembly. Based on underlying big data and cloud computing technologies, it provides various data services, including archive, analysis, knowledge search, and management authorization of biological data. CNGBdb adopts data structures and standards of international omics, health, and medicine, such as The International Nucleotide Sequence Database Collaboration (INSDC), The Global Alliance for Genomics and Health GA4GH (GA4GH), Global Genome Biodiversity Network (GGBN), American College of Medical Genetics and Genomics (ACMG), and constructs standardized data and structures with wide compatibility. All public data and services provided by CNGBdb are freely available to all users worldwide.\r\nCNGB Sequence Archive (CNSA) is the bionomics data repository of CNGBdb.\r\nCNGB Sequence Archive (CNSA) is a convenient and efficient archiving system of multi-omics data in life science, which provides archiving services for raw sequencing reads and further analyzed results. CNSA follows the international data standards for omics data, and supports online and batch submission of multiple data types such as Project, Sample, Experiment/Run, Assembly, Variation, Metabolism, Single cell, and Sequence. Moreover, CNSA has achieved the correlation of sample entities, sample information, and analyzed data on some projects. Its data submission service can be used as a supplement to the literature publishing process to support early data sharing.CNGB Sequence Archive (CNSA) is a convenient and efficient archiving system of multi-omics data in the life science of CNGBdb, which provides archiving services for raw sequencing reads and further analyzed results. CNSA follows the international data standards for omics data, and supports online and batch submission of multiple data types such as Project, Sample, Experiment/Run, Assembly, Variation, Metabolism, Single cell, Sequence. Its data submission service can be used as a supplement to the literature publishing process to support early data sharing."", ""language"": [], ""clientType"": ""repository"", ""domains"": ""*"", ""re3data"": ""https://doi.org/10.17616/R31NJMGL"", ""opendoar"": null, ""issn"": {}, ""url"": ""https://db.cngb.org/"", ""created"": ""2018-09-27T01:28:05.000Z"", ""updated"": ""2023-10-23T10:59:09.000Z"", ""isActive"": true}, ""relationships"": {""provider"": {""data"": {""id"": ""cngb"", ""type"": ""providers""}}, ""prefixes"": {""data"": [{""id"": ""10.26036"", ""type"": ""prefixes""}]}}}"
cos.osf,clients,Open Science Framework,Open Science Framework,COS.OSF,repository,True,2018,"The Open Science Framework (OSF) is part network of research materials, part version control system, and part collaboration software. The purpose of the software is to support the scientist's workflow and help increase the alignment between scientific values and scientific practices.

Document and archive studies. Move the organization and management of study materials from the desktop into the cloud. Labs can organize, share, and archive study materials among team members. Web-based project management reduces the likelihood of losing study materials due to computer malfunction, changing personnel, or just forgetting where you put the damn thing.

Share and find materials. With a click, make study materials public so that other researchers can find, use and cite them. Find materials by other researchers to avoid reinventing something that already exists.
Detail individual contribution. Assign citable, contributor credit to any research material - tools, analysis scripts, methods, measures, data.

Increase transparency. Make as much of the scientific workflow public as desired - as it is developed or after publication of reports. Find public projects here.

Registration. Registering materials can certify what was done in advance of data analysis, or confirm the exact state of the project at important points of the lifecycle such as manuscript submission or at the onset of data collection. Discover public registrations here.

Manage scientific workflow. A structured, flexible system can provide efficiency gain to workflow and clarity to project objectives, as pictured.",,,https://osf.io/,*,,,cos,providers,,,"{""id"": ""cos.osf"", ""type"": ""clients"", ""attributes"": {""name"": ""Open Science Framework"", ""symbol"": ""COS.OSF"", ""year"": 2018, ""alternateName"": null, ""description"": ""The Open Science Framework (OSF) is part network of research materials, part version control system, and part collaboration software. The purpose of the software is to support the scientist's workflow and help increase the alignment between scientific values and scientific practices.\n\nDocument and archive studies. Move the organization and management of study materials from the desktop into the cloud. Labs can organize, share, and archive study materials among team members. Web-based project management reduces the likelihood of losing study materials due to computer malfunction, changing personnel, or just forgetting where you put the damn thing.\n\nShare and find materials. With a click, make study materials public so that other researchers can find, use and cite them. Find materials by other researchers to avoid reinventing something that already exists.\nDetail individual contribution. Assign citable, contributor credit to any research material - tools, analysis scripts, methods, measures, data.\n\nIncrease transparency. Make as much of the scientific workflow public as desired - as it is developed or after publication of reports. Find public projects here.\n\nRegistration. Registering materials can certify what was done in advance of data analysis, or confirm the exact state of the project at important points of the lifecycle such as manuscript submission or at the onset of data collection. Discover public registrations here.\n\nManage scientific workflow. A structured, flexible system can provide efficiency gain to workflow and clarity to project objectives, as pictured."", ""language"": [], ""clientType"": ""repository"", ""domains"": ""*"", ""re3data"": ""https://doi.org/10.17616/R3N03T"", ""opendoar"": null, ""issn"": {}, ""url"": ""https://osf.io/"", ""created"": ""2018-06-21T13:19:34.000Z"", ""updated"": ""2024-10-01T16:02:56.000Z"", ""isActive"": true}, ""relationships"": {""provider"": {""data"": {""id"": ""cos"", ""type"": ""providers""}}, ""prefixes"": {""data"": [{""id"": ""10.17605"", ""type"": ""prefixes""}]}}}"
csc.csceudat,clients,CDI B2Share,CDI B2Share,CSC.CSCEUDAT,repository,True,2016,,,,https://b2share.eudat.eu,"*.csc.fi,*.eudat.eu",,,hvwo,providers,,,"{""id"": ""csc.csceudat"", ""type"": ""clients"", ""attributes"": {""name"": ""CDI B2Share"", ""symbol"": ""CSC.CSCEUDAT"", ""year"": 2016, ""alternateName"": null, ""description"": null, ""language"": [], ""clientType"": ""repository"", ""domains"": ""*.csc.fi,*.eudat.eu"", ""re3data"": null, ""opendoar"": null, ""issn"": {}, ""url"": ""https://b2share.eudat.eu"", ""created"": ""2016-12-19T08:27:23.000Z"", ""updated"": ""2022-01-11T14:41:03.000Z"", ""isActive"": true}, ""relationships"": {""provider"": {""data"": {""id"": ""hvwo"", ""type"": ""providers""}}, ""consortium"": {""data"": {""id"": ""eudatco"", ""type"": ""providers""}}, ""prefixes"": {""data"": [{""id"": ""10.23728"", ""type"": ""prefixes""}]}}}"
csic.digital,clients,Digital CSIC,Digital CSIC,CSIC.DIGITAL,repository,True,2016,"DIGITAL.CSIC is the institutional repository of the Spanish National Research Council (CSIC). Designed for organising, archiving, preserving and disseminating via open access the scientific output generated as a product of the CSIC research activities  by CSIC researchers",,,https://digital.csic.es/,*,,,csic,providers,,,"{""id"": ""csic.digital"", ""type"": ""clients"", ""attributes"": {""name"": ""Digital CSIC"", ""symbol"": ""CSIC.DIGITAL"", ""year"": 2016, ""alternateName"": null, ""description"": ""DIGITAL.CSIC is the institutional repository of the Spanish National Research Council (CSIC). Designed for organising, archiving, preserving and disseminating via open access the scientific output generated as a product of the CSIC research activities  by CSIC researchers"", ""language"": [], ""clientType"": ""repository"", ""domains"": ""*"", ""re3data"": ""https://doi.org/10.17616/R3P34J"", ""opendoar"": null, ""issn"": {}, ""url"": ""https://digital.csic.es/"", ""created"": ""2016-01-20T09:47:36.000Z"", ""updated"": ""2024-06-13T06:49:17.000Z"", ""isActive"": true}, ""relationships"": {""provider"": {""data"": {""id"": ""csic"", ""type"": ""providers""}}, ""prefixes"": {""data"": [{""id"": ""10.20350"", ""type"": ""prefixes""}]}}}"
